listing_id,host_id,superhost,response_time,response_rate,number_of_reviews,review_scores_rating,host_about,host_verifications
9064714,26379512,f,within an hour,100%,10,100,"I enjoy hosting guests in my home and I love my community!Although I just started hosting on AirBnB I have friends visiting at other times from all over the world.As someone who is very active in the local community, I am a great source for advice on where to eat, shop and on what's happening in Long Island City. I can leave you completely alone or give you lists of ideas. That's up to you. I love having dinner parties, cooking, gardening and laughing, but I also need quiet. I also use AirBnB when I travel.","['email', 'phone', 'reviews', 'kba']"
8167266,263688,f,within an hour,100%,45,97,"Hi! I'm the business development manager for a European luxury brand and travel a lot for work and pleasure. I like keeping my apartment clean and organized and enjoy renting it when out of town. I love NY and enjoy art, interior design, and good food and wine - please ask for any recommendations!","['email', 'phone', 'facebook', 'reviews', 'jumio', 'work_email']"
5102389,26362901,f,within an hour,100%,50,91,We are a family of four. Two of us are Brooklyn born and raised. The elder two grew up in the midwest but have lived in Williamsburg for almost twenty years. We love the Southside and can recommend tons of restaurants and things to do. The younger ones can recommend the kid stuff you really should be doing.,"['email', 'phone', 'reviews', 'kba']"
9760592,26350694,t,within an hour,80%,40,97,"Singer/songwriter, scientist, outdoor adventurer, emergency medical responder, and come snow season, I ski patrol up north full-time. I am often outdoors and active - I love to cycle, yoga, ski and explore new places. Relaxed, sociable, accepting of all, wine and tea-drinking creative hippie mindset. Can't live without a guitar, books, music, design, humor, a well-stocked kitchen and a cozy bed. Speaks English and French.","['email', 'phone', 'google', 'reviews', 'jumio']"
2917698,263500,f,within an hour,100%,32,82,"HelloI am originally from Hawaii. I am an actress, producer, filmmaker and model, while being a mother!  It's a fun life most of the time. ","['email', 'phone', 'facebook', 'reviews', 'kba']"
13751797,2632517,f,within a few hours,100%,3,93,I'm a young professional video & television producer.  New York's been my home for the last 15 years. I like to think I'm chill & fun to be around.,"['email', 'phone', 'facebook', 'reviews', 'jumio']"
772362,2631234,f,within an hour,100%,184,95,Simply a nice guy who enjoys the hospitality business!,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'kba']"
12885472,2629017,f,within an hour,100%,4,95,"Hello, I am originally from the UK and settled in New York several years ago. Steven is Colombian and has been here for 7 years and between us we offer an international flavor and variety of languages spoken. We have a wonderful young son who is a perfect blend of Middle Eastern and South American with a British - American twist :)We are new to airbnb but have hosted people through various websites and organizations that airbnb won't allow me to mention. Email me directly if you'd like to view recommendations from those sites. ","['email', 'phone', 'reviews', 'kba']"
5002867,262760,t,within a day,100%,24,98,"We are from Brooklyn, NY.  I have 20 years experience working with young people and educators in Spanish Harlem and Washington Heights.   My husband is a carpenter and a musician. Our toddler (Abacus Jack) loves to sing and dance.   We are nomadic travelers, creative cooks, and veteran storytellers.  We recently traveled across the united states in our Honda civic.  It took us 4 months to get to California and back.  We make ridiculously good coffee and drink it all day long.  Hanging out on our porch and looking out over our wild garden will inspire you to do that thing you've always wanted to do.","['email', 'phone', 'facebook', 'reviews', 'kba']"
533927,2624738,f,within an hour,100%,92,93,"Illinois, but have lived in Las Vegas, Phoenix, North Carolina, Northern VA, Missouri & San Diego. NYC has been home for the past 8 years. I am a creative business consultant. Business process improvement, software development, etc. I enjoy the NYC lifestyle. Walking everywhere, having everything right outside your door, food, wine, events, rooftops, etc.","['email', 'phone', 'reviews', 'jumio']"
707443,2621612,t,within an hour,100%,104,96,"Hi I'm Richard. I am originally from New York and lived most of my adult life in Los Angeles. before returning to NY three years ago.  I work as an independent financial advisor. In my spare time I love traveling and learning about new cultures and languages. Here in Manhattan, I love Central Park close by and find myself biking, rollerblading, and simply walking a few times a week in the park. I'm a people person and enjoy meeting new people from different countries. If we meet and you speak a different language, I will probably  be asking you how to say something in your language.I look forward to meeting you and will do whatever I can to make your stay in NY enjoyable.","['email', 'phone', 'reviews', 'kba', 'work_email']"
56475,262143,f,within a day,86%,11,85,"I was born in Bogota (Colombia) from Austrian parents. I've been living in NY for the past 6 years and currently work in the luxury goods industry. Fluent in four languages, I love to travel and discover different cultures. I also enjoy engaging in sporting activities such as skiing, tennis, soccer and yoga. ","['email', 'phone', 'facebook', 'reviews']"
5070378,26184062,f,N/A,N/A,1,100,"I live here with my boyfriend and our cat. Our home will offer you a retreat from the bustle of the city. I have lived in 5 countries and speak Spanish and French. I enjoy hosting guests to continue to spend time with people who share a love of traveling. Jason is a Brooklyn designer who has brought his calming aesthetic to the apartment. The cat, Biscuit, is a friendly 7-year old guy who naps all day and always wants to be near people.","['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']"
764052,2618273,f,within a day,100%,1,100,"Originally from Texas I moved to NYC about 10 years ago after college and now am a photographer. I am a quiet nerdy girl who enjoys boardgames and sewing. I have a pet rabbit named Loki who stays with a friend while I am gone. As you will see from my DVD collection I like Science Fiction, Comedy movies which you are welcome to enjoy.","['email', 'phone', 'facebook', 'reviews', 'kba']"
5297292,26134830,f,within a few hours,100%,74,94,"I am originally from Venezuela, Lisandro (my husband) is from Argentina, we 've lived in NY since the year 2000.We love to travel and enjoy meeting new people from around the world and sharing our love of Brooklyn and NYC with them.We like music, movies, soccer and vintage furniture.We have two kids and one dog, the three of them very friendly, I'm a aromatherapy student at this moment and I'm an economist as well. ","['email', 'phone', 'reviews', 'kba']"
55320,261202,f,within a few hours,100%,62,95,"Artist, I moved in New York 6 years ago. If you want to check some of my work, here is my website: (URL HIDDEN) Enjoy!","['email', 'phone', 'facebook', 'reviews', 'kba']"
16829511,2611074,f,within a day,75%,0,,"Musician, traveler, and foodie, but a rookie in the kitchen.","['email', 'phone', 'facebook', 'reviews', 'kba', 'work_email']"
3951270,2610706,f,within a day,90%,5,93,"Calm, Cool and Collected","['phone', 'facebook', 'reviews']"
5052897,26079021,f,within an hour,100%,27,92,Hi - It's Mike and I have a cozy one bedroom apartment in a nice neighborhood in Upper East Side (New York City) that I can rent for you to enjoy your stay.,"['email', 'phone', 'reviews', 'kba', 'work_email']"
13426615,260537,t,within a few hours,100%,9,98,"I am a French American woman who has lived in New York for 30 years!  That was love at first sight when i arrived in the East Village in 1986, and my love for the city is as vibrant as ever!Harlem has been my home since 2002.  This is an amazing neighborhood, the people, the music, culture and architecture make it unique and rich.  I would not live anywhere else in the world!!I now also offer my house in the Catskills for rent.  I fell in love with the region, it's beautiful and sereine.  I go there to re-energize, and to find solitude.","['email', 'phone', 'google', 'reviews']"
11906184,26005785,f,within a day,100%,35,89,"Hi, my name is Kayla ! I am a big time travel enthusiast and I love entertaining.  I live in West Palm Beach but South Beach is my home away from home and where I go to relax.  I love finding hidden gems in this city and riding my bike around town. I am very sociable and love meeting new people. ","['email', 'phone', 'reviews', 'kba']"
5126391,26003292,f,within a few hours,100%,45,93,"I'm a 28 year old Jewelry Designer with my own business, living and working out of Brooklyn. I love traveling the world, cooking, hanging out with friends and family, going to concerts, painting, making all sorts of things, and of course my little dog Chester!Alex my boyfriend, who also lives in the apartment and often travels along with me, is a 33 year old Account Manager in Manhattan. Alex was born and raised in New York City and is an avid home brewer.","['email', 'phone', 'reviews', 'kba']"
12071153,2596681,f,within a few hours,100%,7,89,I'm a former teacher and current graduate student who has been living in NYC for 8 years.,"['email', 'phone', 'reviews', 'kba']"
5028112,25948029,f,N/A,N/A,1,60,"Sara and I have an amazing spot right across from Central Park.  It has an incredible (and huge) terrace overlooking the park.  We're near a number of good restaurants and bars, five minutes from Whole Foods and the trains, close to the Natural History Museum, and just across the park from all the museums on the Upper East Side (Met, Guggenheim, Cooper Hewitt, etc). We're looking to rent to up to four people while we're away.  It's listed reasonably cheaply (for NYC) we're really just looking to cover our rent. ","['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio', 'government_id']"
4622869,2593268,t,within an hour,100%,78,94,"Originally from California by way of Virginia (odd we know), we now share our time between an amazing three bedroom and three bathroom apartment in a renovated historic building on the LES and a quaint Victorian double in New Orleans. Our style is a mix of modern vintage eclectic luxe. We love the outdoors, good food with friends old and new, grabbing a glass of wine or sake in our neighborhood, and taking meandering bike rides.We adore traveling and are fortunate enough to travel often for work and leisure. We'd love to meet you and share our city with you.","['email', 'phone', 'facebook', 'reviews', 'kba']"
526923,2589521,f,within a day,100%,14,97,"I am an Interior Designer and Interiors consultant and writer for (URL HIDDEN)  I love good friends and sharing experiences with my friends and family.  I love my job and helping others make their dreams come to realization when designing their spaces.  I love to eat, laugh, love, dance.  I love kids.  I love dogs.  I love art and movies.  I love long walks.  I love the beach and the mountains.  I love spirituality and love.I have had the fortunate experience of having the most lovely and gracious and respectful people stay in our home.  I feel fortunate as their stay in New York was made that much better by staying in our home.Keep It Simple.","['email', 'phone', 'facebook', 'reviews']"
14964943,2587760,f,within a day,90%,11,95,"I love to travel and explore new places and cultures. I enjoy hosting and being hosted, meeting new people, and having new experiences. I'm a very clean guest and know what it's like to open my apartment to others. ","['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']"
17934924,2587680,f,within a day,100%,0,,I'm a documentary film maker and mother.,"['email', 'phone', 'reviews', 'kba']"
5774245,25859072,f,within a few hours,100%,3,87,"I am is a working artist, muralist, life-coach and energy healer. I have lived in the San Francisco Bay Area, New Orleans and currently reside in Brooklyn, NY.  I am into yoga, wellness, spirituality, nature, adventure and travel! ","['email', 'phone', 'reviews', 'jumio', 'kba']"
525741,2584368,f,within an hour,100%,103,91,"Love to cook, love to travel and spend time seeing art and discovering new neighborhoods.  Our family also loves to hike and spend time on the water.","['email', 'phone', 'facebook', 'reviews', 'kba', 'work_email']"
5027620,25815971,f,within an hour,100%,58,95,"We are a married couple. We are both self employed. ( William publishes children's books and Yardena owns a pet shop in Manhattan.We are also both life coaches graduated from NYU.We love reading, traveling and meeting new people, and we are crazy about our 4lb Yorkshire Terrier, Tiffany. ","['email', 'phone', 'facebook', 'reviews', 'jumio', 'kba']"
6012187,25796636,f,within an hour,100%,38,89,"I am a recent college graduate who is working as an actuarial assistant at MetLife in New York City. I love listening to music, going to concerts, playing guitar, and going out to dinner with friends. I've been to Europe for a semester and would love to get back there! ","['email', 'phone', 'reviews', 'jumio']"
6674686,25774748,f,within a day,100%,48,90,I AM A REAL ESTATE AGENT AND ALSO WORKING IN THE TRANSPORTATION FIELD....,"['email', 'phone', 'facebook', 'reviews', 'kba']"
6799944,257676,f,within an hour,100%,11,85,"I'm from Sydney, Australia, I have been living in nyc for 5 years. I like to chill by nature, surf, bike ride and yoga... I'm creative  arty. I'm into all things healthy and clean living -like juicing, meditation and I enjoy cooking. You'll probably get to sample at least one of my delicious creations during your stay. I moved from Chelsea to Prospect Park this year, and it's heaven. Best of both worlds.Brooklyn has a community feel and my neighborhood is very colorful!I'm a natural traveller and I love exploring new places, food and culture. I hear most Australians are like that though. My favorite places I've ever visited are Japan and the Mediterranean. I have an Italian background as so can speak conversational Italian. When I travel I prefer to stay at someone's place and experience it like a local.Living in NYC has been an amazing experience for me. The people are so interesting and there are endless things to do, food to eat and random experiences to run into. I've made some great friends and I'm sure I'll be here for a while.As my guest, I'll do my best to make sure you are equipped with knowledge for what you want tto do and that you are super comfy for your stay.I often say to myself... ""If you're not living, you're dying."" which reminds me to savor each moment.Peace, love and prosperity! !","['email', 'phone', 'facebook', 'reviews', 'kba', 'work_email']"
1443077,2575758,f,within a few hours,80%,13,88,"I am a clean, respectful 34-year-old in Brooklyn, NY.  I worked as a creative director at an ad agency, and am also an artist (writer/ musician).  I love cycling and swimming, and taking in architecture and art.  ","['email', 'phone', 'facebook', 'reviews', 'kba']"
6389979,257541,f,within a few hours,100%,32,96,"My name is Isamar. I am from Puerto Rico and raised in the Bronx. I am fluent in both English and Spanish. I'm a mother to a 10 year old girl, artists, jewelry designer and Hoop and Yoga instructor. We live in our own little creative world. So please, let me know if this fits your style.  ","['email', 'phone', 'reviews', 'kba']"
2563967,257315,f,within a day,100%,16,96,"We leave in Venice California, French and Italian couple working together - co-owner of a fashion consulting company- esthete and art lover, we spend a lot of time decorating our homes in LA, Ny and Paris...","['email', 'phone', 'facebook', 'reviews', 'kba']"
4987929,25715117,f,within a few hours,100%,24,95,"Have been living in NY for over 40 years. Originally from Ecuador, love to talk about life and current events. ","['email', 'phone', 'reviews']"
1101224,2571,f,within a few hours,100%,21,99,"We shared our previous penthouse apartment with many travelers from all over the world, from Grand Parents to Teenagers, from Saudi Arabia to California, USA...then we sold it.  Now we are introducing a new fabulous 3 bedroom, The Putnam, in a wonderful, up and coming neighborhood in Brooklyn, with the same level of service and attention to detail as our previous apartment.We're busy new yorkers so we might be able to see you only a few minutes a day but if you need any information about NYC, we will be able to assist you in having many enjoyable experiences in NYC.   Either one of us speaks French and Japanese, you might be able to guess which one speaks Japanese...","['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']"
1109388,2568528,f,within a few hours,100%,88,85,"We are 2 cooks and artists, born in Caracas, Venezuela. We started hosting because we love meeting new people, our attitude in life is to be the best we can and enjoy the most. Where we are there will always be a good cool playlist, a clean ambiance, musical instruments and something bubbling over a fire.  We started our own café and is only a block away from our home, PAO & CHA-CHA Latin Asian Kitchen, you can drop by for a special offer for our guests!! Our home is warm and we welcome you.We speak English, Spanish, Cantonese, French & Italian. ","['email', 'phone', 'facebook', 'reviews', 'jumio']"
5505726,25602417,f,within a few hours,90%,1,80,"I'm an International Property Manager and a New York State Real Estate Broker.  I live and work in Manhattan full time.  I enjoy traveling and I try to get out of the city as much as I can.  I really enjoy traveling to places that are known for their quality food.My greatest joy in life is spending quality time with my daughter.  If it's just a lazy day watching television or taking a stroll thru a New York City Park, I'm guaranteed to have a blast hanging out with baby girl.Additional hobbies would include sunbathing, swimming, biking and eating great food.","['email', 'phone', 'reviews']"
6627752,25599307,f,within a few hours,100%,32,94,"Musician, public school music teacher, mother of two, Brooklyn resident, foodie","['email', 'phone', 'reviews', 'kba']"
1369799,2559194,f,within a few hours,90%,0,,"Hi potential guest or host! My name is Franci and I was born in Milan, Italy. I've been living in New York City for the past six years, I studied photography and film. I love to travel and discover new places. My dream is to visit remote areas of this planet and be immerse in extreme nature. I also love cities, art and culture and going to the movies! I'm very sociable, independent and respectful of other people.","['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']"
18414969,2549355,f,within an hour,100%,0,,Living in Brooklyn NY. Working and playing in Manhattan we enjoy nice things and great food. ,"['email', 'phone', 'reviews', 'kba']"
9813220,2549049,f,N/A,N/A,0,,"40 years old ESL instructor who has lived in NYC for 19 years.  Loves cooking, yoga,nature and wine tasting.","['email', 'phone', 'reviews', 'kba']"
4244235,254846,f,within a few hours,100%,33,93,"I am a native New Yorker, born and raised. I figured I would rent out my place to people from around the globe to share this great city I call home with others. Its such a great experience sharing your home, meeting travelers from around the globe, making new friends and possibly going to see where they are from. Its fun renting this way and really getting to experience all aspects of the city in and out. I rent like this now all the time when I travel myself. This is also a much better alternative to a really expensive hotel in manhattan and just as, or even more convenient!Kind regards,Brendan","['email', 'phone', 'facebook', 'reviews', 'kba']"
4941771,25468442,f,within an hour,100%,22,93,"I am originally from the Netherlands and love to travel. I currently live in Brooklyn and pursuing my doctorate degree in psychology. When I am not busy studying, I enjoy playing and listening to music or creating and seeing art!","['email', 'phone', 'reviews', 'jumio']"
4932139,25404246,t,within an hour,100%,91,96,"Hi, I'm Stacey. I'm a local artist/jeweler working for the past 20 years. When not creating artworks, I'm dabbling in graphic design. I look forward to hosting you!","['email', 'phone', 'facebook', 'reviews', 'manual_offline', 'jumio']"
3067670,2539525,f,within an hour,100%,3,100,Web developer live and work in NYC,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']"
4917323,25326314,f,within an hour,100%,81,93,"Born in the tropical island of Trinidad and Tobago. Have lived and worked in the US, Africa and Europe for many years.  Currently working for an international organization where daily interaction with colleagues of different races, nationalities, religious and cultural backgrounds is the norm.  I travel frequently to Africa, Europe and the Caribbean, both for work and for leisure.  I am truly excited to host guests from other countries in my home.","['email', 'phone', 'reviews']"
513688,2530670,t,within an hour,100%,85,97,"Tiffany is a graphic designer working mom of 2 kids, ages 5 & 8. Loves her Brooklyn community and the people that live and visit there! Chuck (UPenn graduate) works as a copywriter for advertising and is incredibly handy around the house. He even built the treehouse in the backyard!Both of us love riding bikes around the city, picnics with the family and whatever cultural events we can make room in the schedule for.","['email', 'phone', 'reviews', 'kba']"
4907861,25268900,t,within an hour,100%,47,99,"I work in publishing and have lived all over Brooklyn since 2000. We have a goofy pit bull named Reese, and a sweet cat named Daphne.","['email', 'phone', 'reviews', 'kba']"
4793006,2525242,f,within an hour,100%,9,91,"A triathlete, surfer, snowboarder, eater (of good food) and beach goer. I love being outdoors, waking up early and coffee. I'm in love with NYC and I love that AirBnB provides a platform for me to let people see this great place while also allowing me to travel and see theirs. I don't get to meet all my guests but I love hearing about their lives and their reasons for traveling! ","['email', 'phone', 'facebook', 'reviews', 'kba']"
11546080,25248938,f,N/A,N/A,1,,"Hello, Airbnb'ers! My names Wilmer. I'm from Brooklyn and have recently had an itch to traverse the unknown. This seems like the perfect option for someone who'd like to immerse himself in a city, without losing out on what the experience is truly like for the people actually living there. I don't have much experience on this site, but I am a sociable, respectable guest that would fit in well within your walls. Cheers,W","['email', 'phone', 'reviews', 'kba']"
4921548,25237492,f,within a few hours,100%,11,96,motivated & service oriented,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'jumio']"
6167683,25228783,f,within a few hours,100%,5,95,"Hi! I'm a transplant to New York City from Paris and I've lived here for 2 and a half years, working to promote French fiction and non fiction in the US.  I love traveling around the country, whether staying near New York or going far afield (a recent great trip was to Santa Fe and the small towns nearby). I like spending time relaxing in my cosy and sunny apartment and also going for a birdwatching walk in the nearby Central Park. My partner and I often have guests from Europe staying with us, and we enjoy it very much. No life motto yet, but I'm working on it.","['email', 'phone', 'reviews', 'jumio']"
512210,2522854,t,within a few hours,100%,220,98,"Hello, this is Rich from Brooklyn,NY. I have lived in NYC for eighteen years and love to work in my wood shop, draw, design, ride bicycles and surf. I live with my wife Sara who is a social worker and our three children. ","['email', 'phone', 'facebook', 'reviews', 'jumio']"
512209,2521513,t,within an hour,100%,38,98,"My husband and I have 3 children and love living in Brooklyn Heights, the most beautiful and probably most convenient neighborhood in NYC. I love learning languages (I speak fluent Spanish, plus some Italian, Hebrew and a tiny bit of French), and we all love traveling and getting to know other cultures.","['email', 'phone', 'reviews', 'kba']"
3584703,2515620,f,within a day,100%,0,,"I love to ski, cook, entertain people and read. ","['email', 'phone', 'manual_online', 'facebook', 'reviews', 'manual_offline', 'jumio', 'kba']"
11587276,25145042,f,a few days or more,40%,1,100,"Hello there!Born in the US, raised in Brazil.Love meeting and connecting with people. Enjoy psychology, philosophy and sports.Working for a small investment fund. ","['email', 'phone', 'reviews', 'jumio']"
347865,251176,f,within an hour,100%,207,86,#NAME?,"['email', 'phone', 'facebook', 'reviews', 'jumio']"
13428771,25065958,f,a few days or more,25%,3,100,Art Buyer | Producer* Animals * Friends * Family * Brooklyn * Baltimore * California * Art * Music* Breakfast is the best meal of the day,"['email', 'phone', 'reviews', 'kba']"
508391,2505447,f,within a day,90%,35,94,"I am an interior designer and work for a fashion company in Manhattan. I am very clean and tidy, have no pets, a nonsmoker. I'm from Alabama originally. Got my masters degree at NYU. I am out of the apartment most of the day so you will have a lot of privacy. ","['email', 'phone', 'facebook', 'reviews']"
4870239,25052740,f,within a few hours,100%,6,100,"I am a very positive upbeat person with infinite curiosity and sense of humour.  Thus, I just received my PhD and am a Professor of InterDisciplinary Studies.  I love my neighborhood.  As I've explained elsewhere on this page, it's like living on Sesame Street.  I know the majority of my neighbors, we are cradled by community gardens and have a great neighborhood association.  I also love traveling (I just got back from Thailand and England), dancing (I promise I won't keep you awake with my stomping) and am involved in myriad social justice issues.  Most importantly for you, I am madly in love with Brooklyn and New York so can share my passion with you- Infinite Fun to Be Had! ","['email', 'phone', 'reviews']"
4868571,25043292,f,within a day,60%,0,,Graduate Student who will be gone for the holidays,"['email', 'phone', 'reviews']"
14195493,2499618,f,within a day,75%,4,100,"My partner Jamila and I made Bed Stuy our home about a year ago. We both work in the non-profit world and love to travel and design new spaces during our free time. We have put a lot of sweat, tears, joy, and LOVE into renovating our house. We hope to make the garden apartment a restful, easy, and fun space for guests and visitors to Bed Stuy. Our neighborhood is full of diverse vitality, charming and beautiful homes, friendly and warm neighbors, and a sea of new restaurants & shops. It is an amazing place that represents the best Brooklyn has to offer.Noirmoutier:I am half french and the house I've posted in Noirmoutier is the home I spent my summers in as a kid when visiting my family in France. My grandmother still has the house and we try to spend a couple weeks there every year. It is otherwise open and available for rentals through the year and summer. The area is beautiful with amazing beaches, ports, fishing villages, bike routes, and, of course, food. ","['email', 'phone', 'reviews', 'kba']"
3549126,249182,f,within an hour,100%,49,97,I'm an American architect who loves to travel.,"['email', 'phone', 'facebook', 'reviews', 'jumio']"
544324,2491776,f,N/A,N/A,26,90,"I'm an editor for a website, living in NYC. I love to travel, try new cuisines and go out. I've lived in New York for almost 6 years now but luckily there are always new things to explore here which is why I love to call this city home. ","['email', 'phone', 'reviews', 'jumio']"
16437333,2488129,f,within a few hours,90%,10,91,Girls just wanna have fun!,"['email', 'phone', 'facebook', 'reviews', 'sent_id']"
504362,2487309,f,within a few hours,100%,33,93,"Hi, I'm Eric, born and bred, in Brooklyn, NY. I'm a teacher and a writer, and I love to travel and explore. ","['email', 'phone', 'facebook', 'reviews', 'kba']"
504308,2486797,t,within an hour,100%,121,97,"I am 68 years young and have lived in NYC most of my adult life. I was born in Puerto Rico and still maintain   strong ties with the  Island as well as with the Caribbean (Cuba, Santo Domingo and Puerto Rico). I  own a 11 acre farm in the Island where I grow fruits and flowers . I am a Social Worker by profession( LCSW) I am an avid art collector and an amateur art dealer. I am  bilingual bicultural music lover who occasionally still goes out dancing. I love my apartment because of the tranquility and peace it offers me. I like my privacy and respect that of others.","['email', 'phone', 'facebook', 'reviews', 'kba']"
15042574,24839014,f,N/A,N/A,0,,Explorer of all things. Teacher of small humans. Lover of animals (and people). Reader. ,"['email', 'phone', 'facebook', 'reviews', 'kba']"
5825173,2483427,f,within a few hours,100%,28,87,"I teach at New York University and live in Brooklyn, New York.","['email', 'phone', 'reviews', 'jumio']"
5036776,24825981,f,N/A,N/A,2,100,"I am an actress and model from NY.  I am pretty down to earth, honest, clean and nice. I get along with my roommates and friends and haven't had many problems with roommates or subletting my place in the past. I like to give people the benefit of the doubt and expect the same in return. I respect you you respect me, that kind of thing. I'm really into running, yoga, healthy foods, fashion and movies.","['email', 'phone', 'reviews', 'kba']"
4817724,24811351,t,within an hour,100%,80,95,25 years in Park Slope Brooklyn..same apartment... New York City Artist/Collector.,"['email', 'phone', 'reviews', 'kba']"
11320482,24789838,f,a few days or more,0%,0,,"Hi guys, Im an actor, who splits his time between Europe and the US, working in the tv and film industry. Films are my life.","['email', 'reviews']"
5628342,24787467,f,N/A,N/A,7,93,"Athletic, Outgoing, Empathetic, Respectful","['email', 'phone', 'facebook', 'reviews', 'kba', 'work_email']"
7341424,24769290,f,within a day,100%,14,97,My happy place is Big Sur. I spend as much time outdoors as I can. I am most engaged when I am exploring new places and meeting new people. I love to share my space with visitors and give them all the non-tourist tips I can about what makes this city so incredibly unique and wonderful to visit.  ,"['email', 'phone', 'facebook', 'reviews', 'kba']"
12057450,247558,f,within a few hours,80%,19,89,"Hi,I live in NYC, originally from Oklahoma . I work in entertainment, love to travel, write, films, art. Always enjoy meeting new people and discovering a new place.","['email', 'phone', 'facebook', 'reviews', 'kba']"
4803790,24747851,f,within a few hours,100%,43,95,"New Yorker, love exploring the City and traveling the world!","['email', 'phone', 'reviews', 'kba']"
501098,2472680,f,within a few hours,100%,168,95,"Hi!I am a visual artist working in different mediums: collages, installation, sculpture and public art. I have been living in Brooklyn for the past 10 years but I originally come from the South of France (Montpellier). What I love to do most is working in my studio, visiting museums and galleries, traveling and meeting new people.I'm looking forward to hosting you in my house in Brooklyn!Best,Fanny","['email', 'phone', 'reviews', 'jumio']"
4784432,24666036,t,within an hour,100%,111,96,"I'm a native New Yorker that loves traveling and food.Why do I host? 1) my personal travels would not have been as memorable without the people I've encountered, 2) to afford NYC rent, and 3) I love meeting new people.","['email', 'phone', 'reviews', 'kba']"
4994266,24620881,f,within a few hours,100%,75,95,"Native New Yorker, Entrepreneur, Finance Professional, Professor","['email', 'phone', 'reviews', 'jumio']"
3688168,2461535,t,within an hour,100%,67,93,"We are a young family living in Fort Greene Brooklyn, NY. Message us for any information regarding renting our beautiful apartment for a short or long stay, event or film shoot.","['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']"
16047581,246144,f,within an hour,100%,1,100,"Photography, Food. ","['email', 'phone', 'facebook', 'reviews', 'kba', 'work_email']"
9411467,24600395,f,within a day,70%,9,96,I enjoying sharing my home when i am in New York,"['email', 'phone', 'reviews', 'jumio']"
6472275,24597265,t,within an hour,100%,3,100,Show charity to all people!!,"['email', 'phone', 'reviews', 'kba']"
14444030,24572787,f,N/A,N/A,1,80,Hello! I am an artist living in Brooklyn! ,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']"
9487497,2448332,f,within a day,100%,20,97,I am a marketing and events director in New York. I own my own consulting agency and travel often for work. Always excited to stay in a fun neighborhood rather than a commercial hotel. Thanks!,"['email', 'phone', 'reviews', 'kba']"
4738814,24464374,f,within an hour,100%,77,96,"I've lived in New York for 9 years and at this apartment for the past 4. I'm a professional video editor, aspiring gardener, audiobook enthusiast, cyclist, and board gamer. I've always enjoyed hosting friends and family and am excited to share this hospitality on AirBnB. I love this apartment and hope you will too!","['email', 'phone', 'reviews', 'kba']"
689329,2446219,t,within an hour,100%,195,98,"I am the owner of the home with my family, I have a spare bedroom that can be rented on a daily and weekend basis, the house is very well maintained as we have a keen eye for art, architecture, design and all things real estate. I hold a Masters in Real Estate Investment and Development and am a Licensed Real Estate associate and member of REBNY (Real Estate Board of NY).We keep the house very clean and nothing is damaged, we update the décor frequently to enjoy new styles and comfortable amenities. We are very open minded and social family, open to anyone looking to share our place and respect our privacy and the house itself so that you can enjoy it as well :) We are well travelled, multi lingual and above all exceptional hosts. ","['email', 'phone', 'facebook', 'reviews', 'kba', 'work_email']"
13397691,244340,f,within a day,100%,3,100,"i travel a lot for work. when i'm out of town, i love to rent out my montreal apartment to fellow working, traveling professionals and visitors.get in touch if you're passing through montreal and want to stay in an amazing loft apartment instead of an expensive hotel.","['email', 'phone', 'reviews', 'jumio']"
16962435,24419810,f,within a few hours,100%,0,,"My partner & I are public artists. Our environment is very creative and the energy of the art loft is great. We travel a lot because of our field of work, we know first hand how it is to be guests and travelers around the world. We really enjoy our artsy neighborhood, and love the dinning places around the loft.","['email', 'phone', 'reviews', 'jumio']"
5184044,24398299,f,within a few hours,83%,29,94,Two sisters Camille and Alyssa from New York City!,"['email', 'phone', 'reviews', 'jumio']"
13685871,2438907,t,within a few hours,100%,14,99,I'm just a guy from Brooklyn that loves to travel :),"['email', 'phone', 'reviews', 'kba', 'work_email']"
16491124,2437552,f,within a few hours,100%,3,93,"I love to travel, watch documentaries and read. I'm a journalist.","['email', 'phone', 'reviews', 'kba']"
4718152,24373940,f,within an hour,100%,45,88,"I'm a singer-songwriter and a stagehand as well.I encourage my guests to play my acoustic guitar if they can play.I have an expresso machine which I don't mind my guests using,I'm generous with my guests eating or drinking anything in my kitchen as long as they leave some for me.I lived in Brasil for 3 yrs so for my Brasilian guests my Portuguese is fluent!Please try and keep the place clean as it was found.Please give me your estimated arrival and departure times in your 1st message, this will help speed things up a lot  Thanks ","['email', 'phone', 'reviews', 'jumio']"
